,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS,Mass_calc,Mass_e
0,1,1-1-1470,07 57 08.92,-61 29 18.60,8.803,9.669990748440748,15.45,13.47,26,0.56,<,8.0,,-1.23,0.016,52,-0.77,0.45,0.5,-4.47,0.57,1,1,0.998258,0.49533973406485976,0.054546516370542725
1,2,1-1-1667,07 57 16.58,-61 31 38.70,1.347,7.889990748440747,14.5,12.72,44,0.16,,22.0,,-0.88,0.01,35,-1.41,0.42,0.59,-4.49,0.7,1,1,0.998258,0.66888598593164,0.054546516370542725
2,3,1-1-1880,07 57 24.78,-61 25 56.57,,10.989990748440748,16.46,14.24,14,2.82,<,8.0,*,-1.62,,81,,0.07,0.01,-5.27,0.43,0,1,0.999442,0.35454694905559503,0.054546516370542725
3,4,1-1-194,07 56 22.57,-61 27 01.49,,11.599990748440748,16.62,13.99,13,30.38,<,8.0,*,-1.63,,82,,0.08,0.02,-5.25,0.4,0,1,0.998613,0.28500712052549837,0.054546516370542725
4,5,1-1-1949,07 57 28.44,-61 30 08.22,,12.579990748440748,17.68,15.4,5,10.0,,16.8,*,-2.06,,135,,0.1,0.03,-5.17,0.25,0,1,0.999956,0.19393548774001276,0.054546516370542725
5,6,1-1-2241,07 57 37.82,-61 26 53.31,,12.239990748440748,17.24,14.92,7,0.1,,20.9,,-1.87,,108,,0.34,0.22,-4.65,0.31,0,1,0.999975,0.22385551817396168,0.054546516370542725
6,7,1-1-2403,07 57 43.35,-61 30 44.59,,12.179990748440746,17.24,15.0,7,3.42,,20.6,,-1.88,,110,,0.16,0.13,-4.96,0.31,0,1,0.999966,0.22966165063543353,0.054546516370542725
7,8,1-1-2490,07 57 47.14,-61 30 37.50,0.968,11.829990748440748,16.94,14.69,10,1.43,,25.6,,-1.77,0.018,96,-2.0,0.29,0.28,-4.7,0.35,1,1,0.999442,0.2631233664522434,0.054546516370542725
8,9,1-1-251,07 56 24.19,-61 27 25.90,,10.319990748440746,15.93,13.94,20,5.97,<,8.0,*,-1.41,,64,,-0.03,0.0,,0.5,0,1,0.998613,0.429781603766682,0.054546516370542725
9,10,1-1-2695,07 57 56.09,-61 32 28.57,,12.509990748440748,17.52,14.95,6,2.24,,44.7,,-1.98,,123,,0.41,0.52,-4.56,0.27,0,1,0.999934,0.19878211830722767,0.054546516370542725
10,11,1-1-2698,07 57 56.15,-61 29 38.17,,9.989990748440748,15.51,13.35,25,13.6,<,8.0,*,-1.24,,52,,0.05,0.05,-5.42,0.56,0,1,0.996487,0.46318128673289766,0.054546516370542725
11,12,1-1-3201,07 58 16.47,-61 31 20.67,,8.899990748440745,14.79,12.77,33,12.87,<,8.0,*,-0.97,,39,,0.08,0.09,-5.24,0.66,0,1,0.998258,0.5702931356242382,0.054546516370542725
12,13,1-1-3254,07 58 19.38,-61 32 50.38,,9.189990748440747,15.15,13.15,25,0.52,<,8.0,,-1.12,,46,,0.26,0.38,-4.7,0.61,0,1,0.999146,0.5418972683082744,0.054546516370542725
13,14,1-1-3264,07 58 20.21,-61 33 53.80,1.32,11.499990748440746,16.72,14.32,11,2.5,,24.1,,-1.7,0.016,89,-1.83,0.63,0.5,-4.35,0.39,1,1,0.999442,0.2946322186704259,0.054546516370542725
14,15,1-1-3449,07 58 25.36,-61 29 01.88,,11.029990748440747,16.41,14.22,12,19.28,<,8.0,*,-1.59,,79,,0.0,-0.03,-6.66,0.43,0,1,0.99885,0.34981709721343973,0.054546516370542725
15,16,1-1-351,07 56 28.22,-61 27 46.60,2.318,10.909990748440746,16.31,14.17,16,1.4,,14.4,,-1.55,0.016,75,-1.51,0.49,0.46,-4.45,0.45,1,1,0.999324,0.36390292582803885,0.054546516370542725
16,17,1-1-3651,07 58 32.96,-61 32 35.29,,10.329990748440748,16.04,13.82,15,10.19,<,8.0,*,-1.46,,68,,0.06,0.03,-5.32,0.49,0,1,0.998613,0.4287383229958113,0.054546516370542725
17,18,1-1-3695,07 58 34.29,-61 27 08.00,9.606,8.979990748440747,14.94,12.97,33,1.77,<,8.0,*,-1.04,0.015,42,-0.64,0.31,0.37,-4.62,0.64,1,1,0.999442,0.5620559169806989,0.054546516370542725
18,19,1-1-3971,07 58 43.53,-61 33 40.48,,11.539990748440745,16.6,14.18,10,16.6,<,8.0,*,-1.63,,82,,0.11,-0.05,-5.11,0.41,0,1,0.999697,0.2908325352178944,0.054546516370542725
19,20,1-1-958,07 56 49.99,-61 32 19.90,6.291,10.429990748440746,15.95,13.63,19,1.06,<,8.0,,-1.41,0.015,64,-1.01,0.41,0.47,-4.52,0.5,1,1,0.996487,0.4181801998404465,0.054546516370542725
20,21,1-1-998,07 56 51.49,-61 30 40.05,,11.189990748440747,16.52,14.37,14,0.16,,33.2,,-1.63,,82,,0.39,0.37,-4.54,0.42,0,1,0.99885,0.33019570806388726,0.054546516370542725
21,22,1-2-126,07 56 19.96,-61 19 29.50,0.869,12.159990748440746,17.27,14.81,7,0.32,<,8.0,,-1.9,0.021,112,-2.11,0.83,0.78,-4.24,0.3,1,1,0.999938,0.23146499027775388,0.054546516370542725
22,23,1-2-1835,07 57 21.32,-61 16 48.64,,7.709990748440747,13.9,12.12,45,11.01,<,8.0,*,-0.67,,27,,0.12,0.16,-4.99,0.78,0,1,0.998258,0.6863727223612669,0.054546516370542725
23,24,1-2-1929,07 57 24.32,-61 17 29.60,1.244,10.429990748440746,15.92,13.55,20,1.18,,24.2,,-1.4,0.016,63,-1.71,0.36,0.5,-4.58,0.5,1,1,0.999146,0.4181801998404465,0.054546516370542725
24,25,1-2-2281,07 57 36.33,-61 21 29.30,10.374,9.309990748440745,15.23,13.25,26,0.12,<,8.0,,-1.15,0.015,48,-0.66,0.32,0.33,-4.62,0.6,1,1,0.999019,0.5307085070922511,0.054546516370542725
25,26,1-2-2473,07 57 43.60,-61 17 27.61,,11.599990748440748,16.93,14.5,10,7.78,<,8.0,*,-1.79,,99,,0.06,-0.07,-5.38,0.36,0,1,0.999617,0.28500712052549837,0.054546516370542725
26,27,1-2-2479,07 57 43.86,-61 23 14.03,,8.259990748440748,14.81,12.99,36,106.67,<,8.0,*,-1.01,,40,,-0.14,-0.15,,0.66,0,1,0.999994,0.6322321002483733,0.054546516370542725
27,28,1-2-2491,07 57 44.72,-61 23 32.70,1.739,10.619990748440747,16.12,14.02,18,0.91,,10.7,,-1.48,0.006,69,-1.6,0.51,0.51,-4.43,0.48,1,1,0.997667,0.3990459416414148,0.054546516370542725
28,29,1-2-2564,07 57 46.96,-61 18 55.33,,7.979990748440747,14.58,12.73,39,6.8,<,8.0,*,-0.92,,36,,0.5,0.61,-4.42,0.69,0,1,0.999442,0.6602564582289732,0.054546516370542725
29,30,1-2-2597,07 57 48.84,-61 21 50.72,,11.929990748440746,17.09,14.85,8,11.76,<,8.0,*,-1.83,,104,,0.22,0.29,-4.82,0.33,0,1,0.999762,0.2533361717929834,0.054546516370542725
