recno_1,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,recno_2,Name,SpT_2,e_SpT,ref1,Teff,logL*,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation
1048,721,,1990,99,1.54,13.12,,2.08,15.2,14.46,3.58,<=K7(H)M0(Eetal)<M0(Sam),0.74,-0.06,2.14,0.34,5.62,Simbad,05 35 22.43,-05 23 43.42,1,90,V1527 Ori,M0,1.0,E,3770.0,-0.259,0.51,0.08,0.13,1.8,0.5,1.1,1.74,0.24,2.45,opt,H00,,A,g,Simbad,83.84396,-5.39547,1.8184560575822852
1054,717,,,99,8.38,16.12,,,,,3.535,M2.5(H),0.0,-1.39,0.57,0.23,6.98,Simbad,05 35 22.56,-05 15 08.32,1,510,V1341 Ori,M4.5,1.0,H13,3020.0,,,,,,,,,,4.58,opt,H02,3,,c,Simbad,83.84446,-5.25239,1.6733233872886133
1056,3023,,,,7.32,15.99,,3.03,19.02,,,,,,,,,Simbad,05 35 22.61,-05 16 13.60,1,132,V2392 Ori,M1,1.0,H13,3630.0,-0.898,0.4,0.07,0.12,8.3,3.1,7.7,0.9,0.13,5.29,opt,R09,,,g,Simbad,83.84454,-5.27056,1.259627981619774
1061,727,,,99,8.39,13.87,,2.44,16.31,15.7699995,3.544,M2(H),0.54,-0.38,1.76,0.28,5.81,Simbad,05 35 22.70,-05 31 36.82,1,175,V1528 Ori,M2,1.0,H,3490.0,-0.504,0.35,0.06,0.07,2.0,0.4,0.9,1.53,0.21,6.03,opt,H00,2,,,Simbad,83.84498,-5.52701,1.480987423428429
1064,728,,1995,99,9.24,13.58,,2.32,15.9,15.0199995,3.562,M1(H),0.88,-0.2,2.0,0.3,5.72,Simbad,05 35 22.81,-05 32 28.62,1,118,V2400 Ori,M1,1.0,H,3630.0,-0.377,0.43,0.09,0.09,1.9,0.5,1.1,1.64,0.23,13.87,opt,H02,2,,,Simbad,83.84542,-5.5414,1.4192062788949273
1066,5008,,,,9.85,17.21,,3.11,20.32,,,,,,,,,Simbad,05 35 22.83,-05 13 39.52,1,136,V2401 Ori,M1,1.0,H13,3630.0,-1.336,0.38,0.09,0.09,33.0,16.0,26.0,0.54,0.08,5.62,opt,H02,,,a,Simbad,83.84554,-5.22778,1.5657745909011114
1067,726,,,99,1.75,15.35,,3.89,19.24,12.959999,3.623,K5-K7(H),6.28,0.37,2.9,0.48,5.41,Simbad,05 35 22.86,-05 22 41.42,1,54,2MASS J05352296-0522415,K6,2.0,H,4020.0,0.248,0.71,0.28,0.41,0.8,0.3,0.9,2.75,0.52,2.0,opt,R09,,,g,Simbad,83.84571,-5.37822,1.657657384664157
1068,729,,,99,6.52,14.85,,2.72,17.57,17.57,3.509,M4(H),0.0,-0.79,1.3,0.17,6.06,Simbad,05 35 22.94,-05 29 41.12,1,326,V2403 Ori,M4,1.0,H,3160.0,-0.944,0.2,0.1,0.11,3.4,3.0,2.6,1.12,0.24,2.94,MIR,M11,3,N,,Simbad,83.846,-5.49486,1.5397225298249788
1072,734,,,99,5.45,15.92,,,,,,,,,,,,Simbad,05 35 23.11,-05 28 33.52,1,546,2MASS J05352321-0528339,M7.75,2.0,H13,2590.0,,,,,,,,,,2.92,opt,R09,,,c,Simbad,83.84671,-5.47609,1.5526099073338535
1073,3100,,,,3.03,16.64,,,,,,,,,,,,Simbad,05 35 23.14,-05 25 53.97,1,533,2MASS J05352323-0525544,M2:,1.0,H13,3490.0,,,,,,,,,,0.79,opt,R09,,,c,Simbad,83.8468,-5.43179,1.4532762169051507
